প্রশ্ন,উত্তর
ব্যক্তিগত কিস্তি ঋণ কি?,ব্যক্তিগত কিস্তি ঋণ হল একটি সর্ব-উদ্দেশ্যহীন ব্যক্তিগত ঋণ।
ব্যক্তিগত সুরক্ষিত ঋণ কি?,ব্যক্তিগত সুরক্ষিত ঋণ হল টাইম ডিপোজিট এবং NRB বন্ডের বিপরীতে একটি সাধারণ স্ট্যান্ডবাই লোন এবং ঋণ সমান মাসিক কিস্তিতে পরিশোধযোগ্য।
ব্যাংক কি?,"ব্যাংক হলো একটি আর্থিক সংস্থা যা সম্পত্তি সংরক্ষণ, ঋণ প্রদান, মুদ্রা পরিবর্তন এবং অন্যান্য আর্থিক সেবা সরবরাহ করে।"
রিটেইল এবং কমার্শিয়াল ব্যাংকের মধ্যে পার্থক্য কি?,"রিটেইল ব্যাংক সাধারণ জনগণের জন্য সেবা প্রদান করে, আর কমার্শিয়াল ব্যাংক বণিক এবং ববাসা সংস্থাগুলির জন্য সেবা প্রদান করে।"
ডিপোজিট হলে ব্যাংকে কি সুরক্ষা আছে?,"সাধারণভাবে, ডিপোজিটের জন্য একটি সুরক্ষা মূল্য প্রদান করা হয়, যাতে যদি ব্যাংক পুরস্কৃত হয়, তাদের গ্রাহকদের ডিপোজিটগুলি সুরক্ষিত থাকে।"
কিভাবে একটি ব্যাংক লোন দেয়?,"ঋণের প্রার্থী অনুমোদিত একটি ব্যাংক থেকে ঋণের জন্য আবেগ জানাতে হবে, এবং তারপরে ব্যাংক মূল্যায়ন করবে এবং প্রার্থীর প্রদানকৃত সকল প্রয়োজনীয় তথ্য এবং কাগজপত্রগুলি পরীক্ষা করবে।"
রিভার্স রিপো কি?,রিভার্স রিপো হলো একটি লেনদেন প্রক্রিয়া যেখানে একটি ব্যাংক অথবা অন্য একটি আর্থিক প্রতিষ্ঠান অস্থায়ীভাবে অ্যাসেট বা মূলধন হিসেবে অন্য একটি ব্যাংক থেকে ধার নেয়।
ইন্টারেস্ট কি?,"ইন্টারেস্ট হলো অর্থের একটি পরিমাণ, যা একটি ঋণ বা ডিপোজিটের উপর মাসিক বা বাৎসরিক ভিত্তিতে প্রদান করা হয়।"
ব্যাংকিং ওভারদ্রাফট কি?,ব্যাংকিং ওভারদ্রাফট হলো চেকিং একাউন্টে একটি লেনদেনের জন্য আপনি প্রয়োজনের চেয়ে বেশি অর্থ তৈরি করেন
একাউন্ট মেইনটেইনেন্স ফি কি?,"এটি হলো একটি ব্যাংক একাউন্ট মেইনটেইন করার জন্য প্রদানকৃত মাসিক ফি, যা একটি ব্যক্তি বা ব্যবসায়ীকে তাদের একাউন্ট রাখতে দিতে হয়।"
বিনিয়োগ ব্যাংকিং কি?,"বিনিয়োগ ব্যাংকিং হলো যে ধরণের ব্যাংকিং সেবা যা কোনো কোম্পানি বা ব্যক্তির বিনিয়োগ করার জন্য প্রয়োজন হয়, যেমন উৎপাদন ঋণ, নির্যাতন, বৃদ্ধি বোন্ড, ইকুইটি লোন, ইত্যাদি।"
কর্পোরেট ব্যাংকিং কি?,"কর্পোরেট ব্যাংকিং হলো যে বিশেষ ধরণের ব্যাংকিং সেবা যা কোর্পোরেট ক্লায়েন্টগুলির জন্য প্রয়োজন হয়, তাদের বাজার চান, বিনিয়োগ করে এবং অন্যান্য আর্থিক কার্যক্রমে সাহায্য করে।"
ডিবিট কার্ড এবং ক্রেডিট কার্ডের মধ্যে পার্থক্য কি?,"ডিবিট কার্ড একটি ব্যাংক একাউন্ট থেকে অর্থ উত্তোলন করতে ব্যবহৃত হয়, আপনি যে পরিমাণ অর্থ উপস্থাপন করতে পারেন, সেটির মধ্যে রয়েছে। ক্রেডিট কার্ডে তৈরি করা হয় একটি ক্রেডিট লাইন, যা আপনি পূর্বের কার্ড ব্যবহার করে সামগ্রিক সীমা প্রদান করে এবং এর মধ্যে অর্থ উত্তোলন করতে পারেন।"
মিউচুয়াল ফান্ড কি?,"মিউচুয়াল ফান্ড হলো একটি আমানতসহ একটি নির্দিষ্ট সংস্থার অংশের একটি ধারণা, যা একটি পর্যাপ্ত সংগ্রহ থেকে উপার্জন হয় এবং এটি একটি পর্যায়ক্রম হিসেবে বিভিন্ন আমানতে বিনিয়োগ করতে পারে।"
মোবাইল ব্যাংকিং কি?,"মোবাইল ব্যাংকিং হলো ব্যাংকিং সেবা প্রদানের জন্য মোবাইল ডিভাইস ব্যবহার করা, যেখানে গ্রাহকরা মোবাইল এপ্লিকেশন অথবা ওয়েব ব্রাউজিং ব্যবহার করে তাদের ব্যাংকিং কাজ সম্পাদন করতে পারেন।"
ইমারজেন্সি ফান্ড কি?,"ইমারজেন্সি ফান্ড হলো একটি অর্থনৈতিক রক্ষা কোষ, যা অপ্রত্যাশিত অর্থনৈতিক অসুখের জন্য একটি প্রোজেক্টিড রাখা থেকে উত্তরণ করতে হয়, যেমন চিকিৎসা খরচ, কার মেরুতে খরচ, ইত্যাদি।"
হোম লোন কি?,"হোম লোন হলো একটি ব্যাংক থেকে আবাসন জন্য ঋণ, যা গ্রাহকদের বা আবাসিক স্থানে বা বাড়ি কেনার জন্য ব্যবহৃত হয়।"
ব্যাংকিং লোনের ধরণ?,"ব্যাংকিং লোনের ধরণগুলি অনেকগুলি, যেমন ব্যক্তিগত ঋণ, ব্যবসায়িক ঋণ, বাসা ঋণ, শিক্ষা ঋণ ইত্যাদি"
ব্যাংক থেকে ঋণ নিলে ৯% সুদ কিভাবে হিসাব করা হয়?,"চক্রবৃদ্বি সুদ এর যে,সূত্র সেই হিসেবে ব্যাংক এর হিসাব করা হয়। ধরুন ব্যাংক এর ৯% ইন্টারেস্ট হল যে টাকা আপনি লোন হিসেবে নেয়া হয় তার উপর বছরে ৯% টাকা বাড়তি দিতে হবে। কোন কারনে কোন কিস্তি নাদেয়া হলে সেটা মুল টাকার সাথে যোগ হয়ে,পরের বছরের জন্য ৯% হারে প্রদেয় টাকা নিরর্ধারন করা হয়।"
মসজিদের জন্য ব্যাংক হিসাব খুলব কিভাবে?,"মসজিদের হিসাব খোলার জন্য প্রথমে মসজিদ কমিটি একটি রেজ্যুলেশন করবে।সেখানে কোন ব্যাংকের কোন শাখায় হিসাব খোলা হবে তা পরিষ্কার উল্লেখ থাকবে। তার পর কারা কারা হিসাব পরিচালনায় থাকবেন, কয়জনের স্বাক্ষরে হিসাব পরিচালিত হবে তা উল্লেখ থাকবে রেজ্যুলেশনে। এছাড়া প্রত্যেক পরিচালকের ২ কপি ছবি ও ১ এক কপি করে এনআইডি কার্ডের ফটোকপি লাগবে।"
কোন কোন ব্যাংকে স্টুডেন্ট একাউন্ট খোলা যায়?,সকল রাষ্ট্রমালিকানাধীন ব্যাংকে ১০ টাকায় স্টুডেন্ট একাউন্ট খুলতে পারবেন।
চলতি হিসাব খোলার জন্য ব্যাংকের ম্যানেজারের কাছে কিভাবে আবেদনপত্র লিখব?,এর জন্য আবেদনপত্র লেখার কোন দরকার নেই। ব্যাংক থেকে চলতি হিসাব খোলার ফর্ম নিয়ে তা পূরণ করে প্রয়োজনীয় ডকুমেন্ট সহ জমা দিয়ে চলতি হিসাব খুলতে পাবেন।
ব্যাংকের সুদের হারের হিসাবটা বুঝিয়ে বলবেন কি?,আপনি যদি এক বছরের জন্য ১০০ টাকা ঋণ নেন ১০% হারে তাহলে আপনাকে বছর শেষে ১১০ টাকা পরিশোধ করতে হবে।
ব্যাংকে টাকা ছাড়া আরো কী কী জামা রাখা হয়?,"ব্যাংকে টাকা ছাড়া আরো অনেক কিছু জমা রাখা যায় যেমনঃমূল্যবান দলিল, কাগজপত্র ও গয়না ইত্যাদি।"
নমিনি ছাড়া কি ব্যাংক একাউন্ট খোলা যায়?,হ্যাঁ খোলা যায় 
বিদেশ থেকে ব্যাংকে টাকা পাঠানোর নিয়ম?,"বিদেশ থেকে টাকা পাঠানোর জন্য আপনাকে সেখানে অবস্থিত এজেন্ট বা এক্সচেঞ্জ হাউসের সাহায্য নিয়ে দেশে টাকা পাঠাতে পারবেন। এজন্য যে একাউন্টে টাকা পাঠাবেন সে একাউন্টের ব্যাংক একাউন্ট নম্বর, ব্যাংকের নাম, ব্যাংক একাউন্ট মালিকের পুরো নাম ও ঠিকানা, সুইফট কোড ইত্যাদি লাগবে।"
বিদেশ থেকে টাকা পাঠানোর খরচ?,"আপনি যদি বাংলাদেশের কেন্দ্রীয় ব্যাংক কর্তৃক নিবন্ধিত মানিচেঞ্জার প্রতিষ্ঠানের মাধ্যমে অর্থ প্রেরণ করে থাকেন, সেক্ষেত্রে আপনার কোনো অর্থের প্রয়োজন হবেনা।"
পেনশন কি?,পেনশন হচ্ছে একজন চাকুরীজীবীর জন্য একটি অবসরভাতা।
সর্বজনীন পেনশন স্কিম কি?,"সর্বজনীন পেনশন স্কিম হচ্ছে বাংলাদেশ সরকার কর্তৃক আয়োজিত একটি নতুন পেনশন স্কিম, যে স্কিমে সরকারি চাকুরীজীবী ব্যতীত দেশের সকল নাগরিক পেনশন সুবিধা ভোগ করতে পারবেন। "
কাদের জন্য সর্বজনীন পেনশন স্কিম?  ,"জাতীয় পেনসন কর্তৃপক্ষ দেশের সাধারণ জনগণের কথা চিন্তা করে, সরকারি চাকরিজীবী ব্যতিত দেশের সর্বস্তরের মানুষ এই পেনশন স্কিমের জন্য আবেদন করতে পারবে।"
সর্বজনীন পেনশন স্কিম চালু করার যোগ্যতা ও নিবন্ধন?,বাংলাদেশের জাতীয় পরিচয়পত্রকে মূল ভিত্তি হিসেবে বিবেচনা করে ১৮ বছর থেকে শুরু করে ৫০ বছর পর্যন্ত সকল বয়সের মানুষ সর্বজনীন পেনশন স্কিমে অংশগ্রহণ করতে পারবেন।
অন্যান্য স্কিমে যুক্ত থাকার ব্যক্তিদের সর্বজনীন পেনশন স্কিম?,সামাজিক নিরাপত্তা কর্মসূচির আওতায় থাকা ব্যক্তিগণ তাদের প্রয়োজন অনুসারে স্কিমে যুক্ত হতে পারবেন।
সর্বজনীন পেনশন স্কিম কয়টি এবং কি কি?,বাংলাদেশ সরকার দেশের বৃদ্ধদের সামাজিক সুরক্ষা নিশ্চিত করতে সর্বজনীন পেনশন স্কিম হচ্ছে প্রথম। সরকার সর্বমোট ৬টি স্কিম চালু করার ঘোষণা করেছে।
প্রগতি স্কিম?,প্রগতি স্কিম হচ্ছে বাংলাদেশে বেসরকারি প্রতিষ্ঠানের যেকোনো কর্মকর্তা ও কর্মচারীদের ক্ষেত্রে প্রযোজ্য।
সুরক্ষা স্কিম? ,বাংলাদেশ সরকার কর্তৃক আয়োজিত সর্বজনীন পেনশন স্কিমের আওতায় সুরক্ষা স্কিম শুধু তাদের জন্য যারা কোনো প্রতিষ্ঠানে জব করেনা কিন্তু নিজে কিছু করে অর্থ উপার্জন করে থাকে।
সমতা স্কিম?,বাংলাদেশ পরিসংখ্যান ব্যুরো কর্তৃক সময় সময় প্রকাশিত আয় সীমার ভিত্তিতে দারিদ্র্য সীমার নিচে বসবাসকারী ব্যক্তি সমতা স্কিমের আওতাভুক্ত। যাদের বর্তমান বাৎসরিক আয় ৬০ হাজার টাকার নিচে তার দারিদ্র্য সীমার নিচে বাস করে।
সর্বজনীন পেনশন স্কিম কীভাবে খুলবেন?,"সর্বজনীন পেনশন স্কিম খোলার জন্য আপনাকে জাতীয় পরিচয়পত্রধারী একজন বাংলাদেশী নাগরিক হতে হবে। তারপর নিবন্ধনের জন্য সর্বজনীন পেনশন স্কিমের অফিশিয়াল ওয়েবসাইটে গিয়ে  জাতীয় পরিচয়পত্র, মোবাইল নাম্বার ও ইমেইল দিয়ে কয়েকটি ধাপে অতিক্রম করলে খুব সহজেই একাউন্ট চালু করতে পারবেন।"
অভিবাসন ঋণ?,বাংলাদেশের কোনো নাগরিক বিদেশে জীবিকা নির্বাহের জন্য যেতে চাইলে প্রবাসী কল্যাণ ব্যাংক তাদেকে সহযোগিতা করার জন্য অভিবাসন ঋণের ব্যবস্থা করেছেন। এই ঋণ নেওয়ার ক্ষেত্রে বাংলাদেশী নাগরিককে প্রবাসে অবস্থান করে কোন চাকরি করতে হবে অন্যথায় এই ঋণ দেওয়া হবে না।
অভিবাসন ঋণ সীমা ও মেয়াদকাল?,সর্বোচ্চ ৩ লাখ টাকা পর্যন্ত ঋণ হিসেবে গ্রহন করতে পারবেন এবং রি-এন্ট্রি ভিসার ক্ষেত্রেও ৩ লাখ টাকা ঋণ হিসেবে গ্রহন করতে পারবেন।
অভিবাসন ঋণ গ্রহণের প্রয়োজনীয় কাগজপত্র?,"ঋণ আবেদনকারীর ৪ কপি পাসপোর্ট সাইজের সদ্য তোলা ছবি, ভোটার আইডি কার্ড / জাতীয় পরিচয়পত্র, বর্তমান ঠিকানা ও স্থায়ী ঠিকানাসহ পৌরসভা / ইউনিয়ন পরিষদের সার্টিফিকেটের ফটোকপি জমা দিতে হবে।"
পূনর্বাসন ঋণ?,বাংলাদেশী কোন নাগরিক চাকরীর উদ্দেশ্যে কোন দেশে যাওয়ার পর কোন কারণে স্বদেশে ফিরে এসে স্বাবলম্বি হওয়ার ইচ্ছায় লোনের জন্য আবেদন করে থাকে তাহলে সেই ঋণকে পূনর্বাসন ঋণ বলে।
সঞ্চয়পত্র কী?,সঞ্চয়পত্র হচ্ছে বাংলাদেশ সরকার কর্তৃক পরিচালিত একটি বিনিয়োগ প্রকল্প যা হতে মাসিকা / ত্রৈমাসিক মেয়াদান্তে মুনাফা প্রদান করা হয় এবং মেয়াদান্তে মুনাফাসহ আসল পরিশোধ করা হয়।
সঞ্চয়পত্র প্রকল্প সংখ্যা কত প্রকার ও কি কি?,আজ পর্যন্ত বাংলাদেশ সরকার সর্বমোট ১০টি সঞ্চয়প্রকল্প হাতে নিয়েছে।
সঞ্চয়পত্র কোথায় কিনতে পাওয়া যায়?,সব ব্যাংকে সঞ্চয়পত্র পাওয়া যায় না। মূলত ৪ টি প্রতিষ্ঠান সঞ্চয়পত্র বিক্রি করে থাকে। আপনি এই প্রতিষ্ঠানের কাছ থেকে বাংলাদেশের যেকোন প্রান্ত থেকে সঞ্চয়পত্র কিনতে পারবেন।
সঞ্চয়পত্র কেনার জন্য কি কি ডকুমেন্ট লাগে?,"সঞ্চয়পত্র ক্রয় করার জন্য নিচের ডকুমেন্ট / কাগজপত্রের দরকার হবে। আপনি ক্রয় করা আগে সবকিছু দেখে শুনে যাবেন, যাতে আপনার সঞ্চয়পত্র ক্রয় করতে সুবিধা হয়।"
পরিবার সঞ্চয়পত্র কারা ক্রয় করতে পারবেন?,পরিবার সঞ্চয়পত্র ক্রয় করতে পারবেন যেসকল নারীর বয়স ১৮ বছরের উর্দ্ধে। কিন্তু পুরুষের ক্ষেত্রে যাদের বয়স ১৮ বছরে করতে পারবেন না।
পেনশনার সঞ্চয়পত্র কারা ক্রয় করতে পারবেন?,"পেনশনার সঞ্চয়পত্র ক্রয় করার জন্য আপনাকে সরকারের বিভিন্ন মন্ত্রণালয় এবং সরকারের বিভিন্ন খাতে চাকরী করতে হবে, অন্যথায় আপনি পেনশনার সঞ্চয়পত্র ক্রয় করতে পারবেন না।"
কোন কোন ব্যাংকে সঞ্চয়পত্র করা যায়?,"সঞ্চয়পত্র করতে পারবেন মূলত বাংলাদেশের তসসিলিভুক্ত বানিজ্যক ব্যাংক, পোস্ট অফিসে, জাতীয় সঞ্চয় ব্যুরো অফিস গুলোতে, এবং বাংলাদেশ কেন্দ্রীয় ব্যাংকের যেকোনো শাখায়। এই সকল ব্যাংকে সঞ্চয়পত্র করা যায়।"
ইসলামী ব্যাংকিং কী?,বিনা সুদে লাভ লোকসানে ভাগীদার হওয়া নিষিদ্ধ এমন একটি ব্যাংকিং ব্যবস্থা যেখানে ইসলামের অর্থনৈতিক নীতিমালা ও আর্থিক শর্তাবলি মেনে চলে ব্যাংকিং কার্যক্রম পরিচালিত হয় এরকম ব্যাংকিং ব্যবস্থাপনাকে ইসলামী ব্যাংকিং বলে।
ইসলামী ব্যাংক কত প্রকার ও কি কি?,বাংলাদেশে পরিচালিত বেসরকারি বাণিজ্যিক ব্যাংকের মধ্যে ১০ টি ব্যাংক ইসলামী ব্যাংকিং কার্যক্রম করে।
ইসলামী ব্যাংক কি সরকারি ব্যাংক?,বাংলাদেশে সর্বমোট ১০ টি ইসলামী ব্যাংকিং কার্যক্রম রয়েছে। এদের মধ্যে ইসলামী ব্যাংক বাংলাদেশ লিমিটেড বাংলাদেশের একটি বেসরকারি বাণিজ্যিক ব্যাংক।
ইসলামী ব্যাংকে সুদ কেন নিষিদ্ধ?,ইসলাম সুদের নিন্দা এবং একে নিষিদ্ধ করেছে। কঠোর এবং সুস্পষ্ট ভাষায় বলতে গেলে ইসলামে সুদ নিষিদ্ধ করা হয়েছে ।
অনিবাসী আমানত স্কীম?,অনিবাসী সঞ্চয় স্কীম হচ্ছে সোনালী ব্যাংক ডিপিএস ৫ বছর মেয়াদী একটি ডিপিএস স্কীম। গ্রাহক চাইলে এই স্কীমকে ১০ বছর মেয়াদী করতে পারবেন।
ইসলামী ব্যাংক ডিপিএস কি?,"ইসলামী ব্যাংকের অধীনে অর্থ / সম্পত্তি / মূলধন সঞ্চয় রাখাকে ইসলামী ব্যাংক ডিপিএস বলে। আপনি হয়তো অবগত থাকবেন, ইসলামী ব্যাংক মূলত সুদের ব্যবসা করেনা। তাই এরা নির্দিষ্ট শর্ত বেঁধে দেয়।"
মুদারাবা স্পেশাল সেভিংস (পেনশন) একাউন্ট?,"ইসলামী ব্যাংকের একজন গ্রাহক মাসিক ১০০, ২০০, ৩০০, ৪০০, ৫০০, ১০০০ ২০০০, ৩০০০ করে সর্বোচ্চ ২০,০০০ টাকা পর্যন্ত জমা করা যাবে।"
মুদারাবা মোহর সেভিংস একাউন্ট?,মুদারাবা মোহর সেভিংস একাউন্ট তৈরি করার জন্য গ্রাহককে ৫০০ থেকে ৫০০০ টাকা পর্যন্ত জমা করতে পারবেন।
মুদারাবা মান্থলি প্রফিট ডিপোজিট একাউন্ট?,মুদারাবা মান্থলি প্রফিট ডিপোজিট একাউন্ট চালু করতে হলে গ্রাহককে প্রতিমাসে ১ লক্ষ গুনিতক হারে টাকা জমা করতে পারবেন।
মুদারাবা টার্ম ডিপোজিট রিসিপ্ট?,"মুদারাবা টার্ম ডিপোজিট রিসিপ্ট একাউন্ট তৈরি করার জন্য মিনিমাম টাকা হচ্ছে ১হাজার টাকা। এক্ষেত্রে ইসলামী ব্যাংক ডিপিএস করতে আগ্রহী গ্রাহক ৩, ৬ মাস, ১,২,ও ৩ বছর মেয়াদী ডিপিএস একাউন্ট চালু করতে পারবেন।"
মুদারাবা সেভিংস বন্ড?,"মুদারাবা সেভিংস বন্ড একাউন্ট করতে হলে প্রতিমাসে ১০০০, ৫০০০, ২৫০০০, ৫০০০০, ১০০০০০, ৫০০০০০, ১০০০০০০ টাকা জমা করতে পারবেন। এই একাউন্টের মেয়াদ ৫ ও ৮ বছর হয়ে থাকে। এই একাউন্টটি আপনি ব্যক্তিগত ও জয়েন্ট একাউন্ট হিসেবে খোলা যাবে।"
মুদারাবা এনআরবি সেভিংস বন্ড একাউন্ট?,"মুদারাবা এনআরবি সেভিংস বন্ড ডিপিএস একাউন্ট চালু করতে হলে ইসলামী ব্যাংকের গ্রাহকদেরকে প্রতিমাসে ২৫০০০, ৫০০০০, ১০০০০০, ২০০০০০, ৫০০০০০, এবং ১০০০০০০ টাকা সঞ্চয় করতে হবে।"
মুদারাবা হজ সেভিংস একাউন্ট?,"মুদারাবা হজ সেভিংস একাউন্ট করতে হলে আপনি ১-২৫ বছর পর্যন্ত রাখতে পারেন। এই একাউন্টের মুনাফা হার ৭%। এই ধরণের মূনাফার একাউন্ট তৈরি করতে হলে আপনাকে একজন মুসলিম হতে হবে। অন্যথায়, আপনি এই ধরণের একাউন্ট খুলতে পারবেন না।"
ওয়াকফ ক্যাশ ডিপোজিট একাউন্ট?,"ওয়াকফ ক্যাশ ডিপোজিট একাউন্টের জন্য মিনিমাম ডিপোজিট ১০,০০০ টাকা। এই টাকা আপনাকে প্রতিমাসে দিতে হবে। বাংলাদেশের যেকোন নাগরিক এই একাউন্ট করতে পারবে। ইসলামী ব্যাংক ডিপিএস এর ওয়াকফ ক্যাশ ডিপোজিট রেট বা প্রোফিট রেট প্রায় ৭%।"
ইসলামী ব্যাংক ডিপিএস একাউন্ট খোলার যোগ্যতা?,বাংলাদেশী নাগরিক হতে হবে। অপ্রাপ্ত বয়ষ্করা অভিভাবকের অধীনে একাউন্ট করতে পারবে। ছাত্র-ছাত্রীদের জন্যও একাউন্ট তৈরি করার সুযোগ রয়েছে।
